speed1,speed2,pid1,ad2,lqg3,control
2000,2000,0.716,0.716,0.7273,1
2000,2000,0.717,0.717,0.7274,1
2000,2000,0.718,0.718,0.7275,1
2000,2000,0.719,0.719,0.7276,1
2000,2000,0.7199,0.7199,0.7278,1
2000,2000,0.7209,0.7209,0.7279,1
2000,2000,0.7219,0.7219,0.728,1
2000,2000,0.7229,0.7229,0.7281,1
2000,2000,0.7238,0.7238,0.7282,1
2000,2000,0.7248,0.7248,0.7283,1
2000,2000,0.7258,0.7258,0.7284,1
2000,2000,0.7267,0.7267,0.7285,1
2000,2000,0.7277,0.7277,0.7287,1
2000,2000,0.7287,0.7287,0.7288,1
2000,2000,0.7296,0.7296,0.7289,1
2000,2000,0.7306,0.7306,0.729,1
2000,2000,0.7315,0.7315,0.7291,1
2000,2000,0.7325,0.7325,0.7292,1
2000,2000,0.7334,0.7334,0.7293,1
2000,2000,0.7344,0.7344,0.7295,1
2000,2000,0.7353,0.7353,0.7296,1
2000,2000,0.7363,0.7363,0.7297,1
2000,2000,0.7372,0.7372,0.7298,1
2000,2000,0.7382,0.7382,0.7299,1
2000,2000,0.7391,0.7391,0.73,1
2000,2000,0.74,0.74,0.7301,1
2000,2000,0.741,0.741,0.7302,1
2000,2000,0.7419,0.7419,0.7304,1
2000,2000,0.7428,0.7428,0.7305,1
2000,2000,0.7437,0.7437,0.7306,1
2000,2000,0.7447,0.7447,0.7307,1
2000,2000,0.7456,0.7456,0.7308,1
2000,2000,0.7465,0.7465,0.7309,1
2000,2000,0.7474,0.7474,0.731,1
2000,2000,0.7483,0.7483,0.7311,1
2000,2000,0.7492,0.7492,0.7313,1
2000,2000,0.7502,0.7502,0.7314,1
2000,2000,0.7511,0.7511,0.7315,1
2000,2000,0.018,0.0004,0.6859,2
2000,2000,0.0239,0.0055,0.686,2
2000,2000,0.0298,0.0105,0.6861,2
2000,2000,0.0357,0.0156,0.6862,2
2000,2000,0.0414,0.0205,0.6863,2
2000,2000,0.0472,0.0255,0.6864,2
2000,2000,0.0528,0.0303,0.6865,2
2000,2000,0.0585,0.0352,0.6866,2
2000,2000,0.064,0.04,0.6867,2
2000,2000,0.0695,0.0447,0.6869,2
2000,2000,0.075,0.0494,0.687,2
2000,2000,0.0795,0.0541,0.6871,2
2000,2000,0.084,0.0587,0.6872,2
2000,2000,0.0885,0.0632,0.6873,2
